areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-03-05,33,124416
overview,United Kingdom,K02000001,2021-03-04,98,124383
overview,United Kingdom,K02000001,2021-03-03,130,124285
overview,United Kingdom,K02000001,2021-03-02,160,124155
overview,United Kingdom,K02000001,2021-03-01,209,123995
overview,United Kingdom,K02000001,2021-02-28,196,123786
overview,United Kingdom,K02000001,2021-02-27,210,123590
overview,United Kingdom,K02000001,2021-02-26,207,123380
overview,United Kingdom,K02000001,2021-02-25,249,123173
overview,United Kingdom,K02000001,2021-02-24,255,122924
overview,United Kingdom,K02000001,2021-02-23,282,122669
overview,United Kingdom,K02000001,2021-02-22,276,122387
overview,United Kingdom,K02000001,2021-02-21,317,122111
overview,United Kingdom,K02000001,2021-02-20,340,121794
overview,United Kingdom,K02000001,2021-02-19,373,121454
overview,United Kingdom,K02000001,2021-02-18,410,121081
overview,United Kingdom,K02000001,2021-02-17,423,120671
overview,United Kingdom,K02000001,2021-02-16,443,120248
overview,United Kingdom,K02000001,2021-02-15,513,119805
overview,United Kingdom,K02000001,2021-02-14,488,119292
overview,United Kingdom,K02000001,2021-02-13,485,118804
overview,United Kingdom,K02000001,2021-02-12,523,118319
overview,United Kingdom,K02000001,2021-02-11,571,117796
overview,United Kingdom,K02000001,2021-02-10,603,117225
overview,United Kingdom,K02000001,2021-02-09,599,116622
overview,United Kingdom,K02000001,2021-02-08,679,116023
overview,United Kingdom,K02000001,2021-02-07,633,115344
overview,United Kingdom,K02000001,2021-02-06,699,114711
overview,United Kingdom,K02000001,2021-02-05,750,114012
overview,United Kingdom,K02000001,2021-02-04,714,113262
overview,United Kingdom,K02000001,2021-02-03,858,112548
overview,United Kingdom,K02000001,2021-02-02,844,111690
overview,United Kingdom,K02000001,2021-02-01,884,110846
overview,United Kingdom,K02000001,2021-01-31,892,109962
overview,United Kingdom,K02000001,2021-01-30,909,109070
overview,United Kingdom,K02000001,2021-01-29,1063,108161
overview,United Kingdom,K02000001,2021-01-28,1107,107098
overview,United Kingdom,K02000001,2021-01-27,1111,105991
overview,United Kingdom,K02000001,2021-01-26,1058,104880
overview,United Kingdom,K02000001,2021-01-25,1165,103822
overview,United Kingdom,K02000001,2021-01-24,1153,102657
overview,United Kingdom,K02000001,2021-01-23,1157,101504
overview,United Kingdom,K02000001,2021-01-22,1236,100347
overview,United Kingdom,K02000001,2021-01-21,1235,99111
overview,United Kingdom,K02000001,2021-01-20,1289,97876
overview,United Kingdom,K02000001,2021-01-19,1362,96587
overview,United Kingdom,K02000001,2021-01-18,1297,95225
overview,United Kingdom,K02000001,2021-01-17,1262,93928
overview,United Kingdom,K02000001,2021-01-16,1300,92666
overview,United Kingdom,K02000001,2021-01-15,1221,91366
overview,United Kingdom,K02000001,2021-01-14,1218,90145
overview,United Kingdom,K02000001,2021-01-13,1210,88927
overview,United Kingdom,K02000001,2021-01-12,1205,87717
overview,United Kingdom,K02000001,2021-01-11,1134,86512
